Geo_FIPS,year,pediatric_population,NumberED_VisitsAge0to17,NumberLowAcuityED_VisitsAge0to17,NumberAsthmaRelatedED_Visits,NumberOfInjuryRelatedVisits,NumberAcuteRespiratoryTractInfectionRelatedED_VisitsAge0to17,AllPrimaryCarePatientsAge0to17,WellChildVisitsInPastYearAge0to17,AsthmaDiagnosisAge0to17,ed_visit_rate_per_1000,asthma_ed_rate,injury_rate,low_acuity_ratio,primary_care_utilization
420031403002,2019,173,33.0,24.0,2.0,1.0,3.0,109,103,19.0,190.7514450867052,11.560693641618498,5.780346820809249,0.7272727272727273,0.630057803468208
420031403003,2017,208,28.0,9.0,2.0,1.0,4.0,148,119,21.0,134.6153846153846,9.615384615384615,4.8076923076923075,0.32142857142857145,0.7115384615384616
420031404001,2017,165,29.0,11.0,2.0,2.0,2.0,104,100,11.0,175.75757575757575,12.121212121212121,12.121212121212121,0.3793103448275862,0.6303030303030303
420031404002,2018,140,28.0,14.0,2.0,2.0,1.0,128,114,16.0,200.0,14.285714285714286,14.285714285714286,0.5,0.9142857142857143
420031404003,2019,189,39.0,21.0,4.0,1.0,2.0,148,131,19.0,206.34920634920636,21.164021164021165,5.291005291005291,0.5384615384615384,0.783068783068783
420031406001,2016,290,67.0,28.0,13.0,3.0,3.0,236,214,24.0,231.0344827586207,44.827586206896555,10.344827586206897,0.417910447761194,0.8137931034482758
420031406001,2018,290,67.0,35.0,10.0,1.0,4.0,226,206,24.0,231.0344827586207,34.48275862068966,3.4482758620689653,0.5223880597014925,0.7793103448275862
420031406002,2019,190,29.0,17.0,1.0,1.0,2.0,101,93,11.0,152.6315789473684,5.2631578947368425,5.2631578947368425,0.5862068965517241,0.531578947368421
420031406003,2017,162,39.0,14.0,10.0,1.0,5.0,83,63,13.0,240.74074074074073,61.72839506172839,6.172839506172839,0.358974358974359,0.5123456790123457
420031406003,2019,162,49.0,24.0,5.0,4.0,4.0,76,68,11.0,302.4691358024691,30.864197530864196,24.691358024691358,0.4897959183673469,0.4691358024691358
420031408002,2016,243,76.0,40.0,12.0,2.0,8.0,344,281,42.0,312.75720164609055,49.382716049382715,8.23045267489712,0.5263157894736842,1.4156378600823045
420031408002,2017,243,62.0,23.0,5.0,1.0,5.0,338,278,42.0,255.1440329218107,20.5761316872428,4.11522633744856,0.3709677419354839,1.3909465020576133
420031408003,2018,150,40.0,21.0,10.0,1.0,8.0,98,67,10.0,266.6666666666667,66.66666666666667,6.666666666666667,0.525,0.6533333333333333
420031408003,2019,150,49.0,34.0,8.0,4.0,12.0,91,75,9.0,326.6666666666667,53.333333333333336,26.666666666666668,0.6938775510204082,0.6066666666666667
420031410001,2017,215,39.0,21.0,5.0,3.0,3.0,113,108,11.0,181.3953488372093,23.25581395348837,13.953488372093023,0.5384615384615384,0.5255813953488372
420031410001,2018,215,33.0,23.0,4.0,3.0,2.0,117,107,11.0,153.48837209302326,18.6046511627907,13.953488372093023,0.696969696969697,0.5441860465116279
420031410001,2019,215,35.0,18.0,2.0,1.0,4.0,110,110,9.0,162.7906976744186,9.30232558139535,4.651162790697675,0.5142857142857142,0.5116279069767442
420031411001,2016,248,60.0,28.0,11.0,1.0,3.0,154,130,20.0,241.93548387096774,44.354838709677416,4.032258064516129,0.4666666666666667,0.6209677419354839
420031411001,2017,248,56.0,24.0,1.0,1.0,5.0,151,134,20.0,225.80645161290323,4.032258064516129,4.032258064516129,0.42857142857142855,0.6088709677419355
420031411001,2018,248,61.0,27.0,2.0,1.0,5.0,147,116,18.0,245.96774193548387,8.064516129032258,4.032258064516129,0.4426229508196721,0.592741935483871
420031411001,2019,248,68.0,38.0,4.0,2.0,8.0,129,124,16.0,274.19354838709677,16.129032258064516,8.064516129032258,0.5588235294117647,0.5201612903225806
420031413001,2016,260,37.0,13.0,3.0,1.0,4.0,179,159,18.0,142.30769230769232,11.538461538461538,3.8461538461538463,0.35135135135135137,0.6884615384615385
420031413001,2017,260,41.0,14.0,8.0,1.0,5.0,176,154,23.0,157.69230769230768,30.76923076923077,3.8461538461538463,0.34146341463414637,0.676923076923077
420031413002,2016,301,44.0,22.0,4.0,1.0,2.0,182,152,22.0,146.17940199335547,13.289036544850498,3.3222591362126246,0.5,0.6046511627906976
420031413002,2017,301,43.0,16.0,2.0,1.0,4.0,187,155,23.0,142.85714285714286,6.644518272425249,3.3222591362126246,0.37209302325581395,0.6212624584717608
420031413003,2016,145,31.0,11.0,2.0,1.0,7.0,102,76,13.0,213.79310344827587,13.793103448275861,6.896551724137931,0.3548387096774194,0.7034482758620689
420031413003,2017,145,34.0,21.0,2.0,3.0,5.0,101,77,14.0,234.48275862068965,13.793103448275861,20.689655172413794,0.6176470588235294,0.696551724137931
420031413003,2018,145,36.0,22.0,3.0,1.0,6.0,109,77,12.0,248.27586206896552,20.689655172413794,6.896551724137931,0.6111111111111112,0.7517241379310344
420031414001,2018,192,40.0,16.0,3.0,1.0,5.0,111,90,11.0,208.33333333333334,15.625,5.208333333333333,0.4,0.578125
420031414003,2017,188,32.0,15.0,2.0,2.0,2.0,112,102,21.0,170.2127659574468,10.638297872340425,10.638297872340425,0.46875,0.5957446808510638
420031414004,2017,218,60.0,32.0,3.0,1.0,6.0,233,217,31.0,275.22935779816515,13.761467889908257,4.587155963302752,0.5333333333333333,1.0688073394495412
420031414004,2019,218,77.0,40.0,13.0,1.0,10.0,234,216,34.0,353.2110091743119,59.63302752293578,4.587155963302752,0.5194805194805194,1.073394495412844
420031414005,2016,110,24.0,7.0,8.0,1.0,5.0,42,31,4.0,218.1818181818182,72.72727272727273,9.090909090909092,0.2916666666666667,0.38181818181818183
420031516001,2016,232,60.0,36.0,7.0,2.0,12.0,82,64,13.0,258.62068965517244,30.17241379310345,8.620689655172415,0.6,0.35344827586206895
420031516001,2018,232,67.0,37.0,6.0,3.0,5.0,70,53,12.0,288.7931034482759,25.862068965517242,12.931034482758621,0.5522388059701493,0.3017241379310345
420031516001,2019,232,78.0,32.0,12.0,2.0,6.0,66,46,10.0,336.2068965517241,51.724137931034484,8.620689655172415,0.41025641025641024,0.28448275862068967
